cycle,sample_type,num_samples,time_elapsed,estimated_distribution
0,Gibbs,10000,0.8124785410473123,0.4896
0,Token,10000,0.5032806670060381,0.49399797286570846
0,Gibbs,50000,4.05898295796942,0.4874
0,Token,50000,2.433374624932185,0.4793200110273757
0,Gibbs,100000,8.17809862503782,0.48448583333333334
0,Token,100000,4.8535484169842675,0.4871098404784062
0,Gibbs,10000,0.8064721670234576,0.4908
0,Token,10000,0.4828070829389617,0.4858283774377511
0,Gibbs,50000,4.057960291975178,0.487435
0,Token,50000,2.448399791959673,0.4854045851437828
0,Gibbs,100000,8.139738666941412,0.4872875
0,Token,100000,4.891475084004924,0.4842777497929598
0,Gibbs,10000,0.8179167499765754,0.4811416666666667
0,Token,10000,0.4878891250118613,0.4899314926302678
0,Gibbs,50000,4.027492875000462,0.488135
0,Token,50000,2.449837249936536,0.484933725959955
0,Gibbs,100000,8.11857916705776,0.48388
0,Token,100000,4.896516209002584,0.48912840640623306
0,Gibbs,10000,0.8227704589953646,0.48570833333333335
0,Token,10000,0.49057445803191513,0.48958956636422474
0,Gibbs,50000,4.031019416986965,0.4871
0,Token,50000,2.437051207991317,0.4821524851850135
0,Gibbs,100000,8.075339457951486,0.48824
0,Token,100000,4.895793417003006,0.48503882842677487
0,Gibbs,10000,0.8543997909873724,0.4900333333333333
0,Token,10000,0.4865717499051243,0.4859627056136966
0,Gibbs,50000,4.036980375065468,0.48800666666666664
0,Token,50000,2.423604334006086,0.4823330218668957
0,Gibbs,100000,8.155150041915476,0.48583
0,Token,100000,4.853861166979186,0.48585967124818114
1,Gibbs,10000,0.8124692920828238,0.5042583333333334
1,Token,10000,0.4834286669502035,0.5063439534003346
1,Gibbs,50000,4.0714679170632735,0.50354
1,Token,50000,2.4357310420600697,0.5053441297522012
1,Gibbs,100000,8.062394249951467,0.50398
1,Token,100000,4.855051042046398,0.5042950936041343
1,Gibbs,10000,0.8130553340306506,0.5126
1,Token,10000,0.4845933329779655,0.5040359511045439
1,Gibbs,50000,4.033302208059467,0.5064
1,Token,50000,2.4466353330062702,0.5048976674172764
1,Gibbs,100000,8.08578345796559,0.50625
1,Token,100000,4.883646833943203,0.5019240409372488
1,Gibbs,10000,0.8188212499953806,0.507025
1,Token,10000,0.486416291911155,0.501703525504036
1,Gibbs,50000,4.024954124935903,0.5070616666666666
1,Token,50000,2.428363458951935,0.5057100824857461
1,Gibbs,100000,8.223461457993835,0.50746
1,Token,100000,4.863873290945776,0.5069125210851713
1,Gibbs,10000,0.8392975419992581,0.4993
1,Token,10000,0.4838400000007823,0.4975271403973672
1,Gibbs,50000,4.050694708013907,0.50573
1,Token,50000,2.4193366669351235,0.5056759268972819
1,Gibbs,100000,8.058825916028582,0.50516
1,Token,100000,4.8506941250525415,0.5059733695658802
1,Gibbs,10000,0.8124780000653118,0.5029833333333333
1,Token,10000,0.48809537501074374,0.507284250631953
1,Gibbs,50000,4.0979327079840004,0.50278
1,Token,50000,2.459072707919404,0.5097306831849598
1,Gibbs,100000,8.182953417068347,0.50824
1,Token,100000,4.859292875044048,0.5076174945632884
2,Gibbs,10000,0.8250698329648003,0.482
2,Token,10000,0.5014385000104085,0.4986261891096484
2,Gibbs,50000,4.053027542075142,0.4933416666666667
2,Token,50000,2.4347472089575604,0.4912329923467085
2,Gibbs,100000,8.062584791099653,0.49044
2,Token,100000,4.818946707993746,0.4953341244973405
2,Gibbs,10000,0.8158722079824656,0.4858166666666667
2,Token,10000,0.49068516702391207,0.4963181868138578
2,Gibbs,50000,4.053831832949072,0.4957166666666667
2,Token,50000,2.4387117499718443,0.49165993720251094
2,Gibbs,100000,8.111679499968886,0.49888
2,Token,100000,4.90088158310391,0.4909993913810284
2,Gibbs,10000,0.8221940419171005,0.49845833333333334
2,Token,10000,0.48603024997282773,0.5082733944730061
2,Gibbs,50000,4.03263187489938,0.49498
2,Token,50000,2.420489790965803,0.4936726772370081
2,Gibbs,100000,8.103526416933164,0.49328
2,Token,100000,4.898629541043192,0.493130167620251
2,Gibbs,10000,0.8225623330799863,0.4867
2,Token,10000,0.48539054102730006,0.49184872205058067
2,Gibbs,50000,4.043289707973599,0.49726
2,Token,50000,2.4129649170208722,0.49028151523949165
2,Gibbs,100000,8.09135054203216,0.4939
2,Token,100000,4.882104959106073,0.4905725043268052
2,Gibbs,10000,0.8166452499572188,0.5020416666666667
2,Token,10000,0.485979542019777,0.48155429911221287
2,Gibbs,50000,4.062935833004303,0.49216
2,Token,50000,2.474013749975711,0.4904864487702768
2,Gibbs,100000,8.133525083074346,0.493665
2,Token,100000,4.842230250011198,0.4917397355007812
3,Gibbs,10000,0.8446365830022842,0.4965
3,Token,10000,0.49170995806343853,0.49602510715724946
3,Gibbs,50000,4.049083292018622,0.49938
3,Token,50000,2.4348158749053255,0.4981812149142817
3,Gibbs,100000,8.027219083043747,0.50119
3,Token,100000,4.835251291049644,0.4969867872358331
3,Gibbs,10000,0.8162822909653187,0.4967
3,Token,10000,0.4919569999910891,0.5088229188291468
3,Gibbs,50000,4.052062917035073,0.50152
3,Token,50000,2.44084091600962,0.5038168870108737
3,Gibbs,100000,8.110037457896397,0.49953
3,Token,100000,4.858746457961388,0.5019350180329288
3,Gibbs,10000,0.8207409160677344,0.4958
3,Token,10000,0.48938791698310524,0.4966601130799008
3,Gibbs,50000,4.084853291045874,0.49748
3,Token,50000,2.4142545419745147,0.49836907065083474
3,Gibbs,100000,8.098538417019881,0.50112
3,Token,100000,4.862694624927826,0.49950054214655887
3,Gibbs,10000,0.8125667920103297,0.4936
3,Token,10000,0.48750033299438655,0.5142693157811183
3,Gibbs,50000,4.019319917075336,0.50086
3,Token,50000,2.4324500830844045,0.5008917048274045
3,Gibbs,100000,8.120193458045833,0.50165
3,Token,100000,4.853205666993745,0.5014581242094966
3,Gibbs,10000,0.8242122080409899,0.4955
3,Token,10000,0.49091200006660074,0.4937171048614588
3,Gibbs,50000,4.084006291930564,0.49911
3,Token,50000,2.450778500060551,0.5026580366879814
3,Gibbs,100000,8.105222750105895,0.502735
3,Token,100000,4.894797584041953,0.5037218452741774
4,Gibbs,10000,0.8189964999910444,0.49794166666666667
4,Token,10000,0.5098981249611825,0.49634261011857517
4,Gibbs,50000,4.048725541098975,0.4979
4,Token,50000,2.457370250020176,0.5019456487000139
4,Gibbs,100000,8.131846125004813,0.49866
4,Token,100000,4.861422790912911,0.498799227700335
4,Gibbs,10000,0.8356681659352034,0.5022583333333334
4,Token,10000,0.4980979999527335,0.5025949761262196
4,Gibbs,50000,4.099450874957256,0.5021
4,Token,50000,2.4695007919799536,0.5004696393413827
4,Gibbs,100000,8.29664229194168,0.49745
4,Token,100000,4.9468538330402225,0.4992541673324072
4,Gibbs,10000,0.8229374999646097,0.49871666666666664
4,Token,10000,0.48932029097341,0.5103249520692645
4,Gibbs,50000,4.052829666994512,0.50276
4,Token,50000,2.44684208300896,0.49840810560907955
4,Gibbs,100000,8.120710916933604,0.49948
4,Token,100000,4.920986707904376,0.49766248845880356
4,Gibbs,10000,0.8110614160541445,0.4981
4,Token,10000,0.4918465830851346,0.4960739537666842
4,Gibbs,50000,4.039600542047992,0.501825
4,Token,50000,2.470579875051044,0.5019822439733684
4,Gibbs,100000,8.10787700000219,0.499
4,Token,100000,4.914634958025999,0.5027985495597574
4,Gibbs,10000,0.8230948749696836,0.5006583333333333
4,Token,10000,0.49524099996779114,0.5071132874989315
4,Gibbs,50000,4.0719265840016305,0.501845
4,Token,50000,2.461095291073434,0.5045390337384024
4,Gibbs,100000,8.140769790974446,0.49898
4,Token,100000,4.88873245799914,0.49807595906275115
