cycle,sample_type,time_elapsed,parameter,delta,sample_period,estimated_distribution
0,Gibbs,91.37802645899865,50x50,0.001,2000000,0.49083333333333334
0,Token,59.3327909169966,50x50,0.001,2000000,0.470382
1,Gibbs,9.986953999999969,10x10,0.001,750000,0.48213333333333336
1,Token,19.683379291000165,10x10,0.001,750000,0.4814366666666667
1,Gibbs,44.356731458003196,20x20,0.001,1500000,0.4664
1,Token,65.7391930829981,20x20,0.001,1500000,0.4638997777777778
1,Gibbs,302.65537849999964,50x50,0.001,2000000,0.483625
1,Token,207.155748707999,50x50,0.001,2000000,0.4895865
1,Gibbs,20.13717533399904,10x10,0.001,750000,0.48176233333333335
1,Token,9.924901750000572,10x10,0.001,750000,0.48779733333333336
1,Gibbs,44.81159574999765,20x20,0.001,1500000,0.46283566666666665
1,Token,21.814385833000415,20x20,0.001,1500000,0.4627853333333333
1,Gibbs,211.61537300000055,50x50,0.001,2000000,0.49448214285714287
1,Token,119.23206674999892,50x50,0.001,2000000,0.485051625
1,Gibbs,25.303959208002198,10x10,0.001,750000,0.4849866666666667
1,Token,19.917322749999585,10x10,0.001,750000,0.4863306666666667
1,Gibbs,44.86063341699992,20x20,0.001,1500000,0.465797
1,Token,55.29537583400088,20x20,0.001,1500000,0.46494853333333336
1,Gibbs,211.08279412499905,50x50,0.001,2000000,0.5026228571428571
1,Token,148.3605139579995,50x50,0.001,2000000,0.5040741
1,Gibbs,20.109434499998315,10x10,0.001,750000,0.48179066666666664
1,Token,14.868152833001659,10x10,0.001,750000,0.4850293333333333
1,Gibbs,44.55590945899894,20x20,0.001,1500000,0.4644
1,Token,32.96948508300193,20x20,0.001,1500000,0.46170266666666665
1,Gibbs,90.16720570800317,50x50,0.001,2000000,0.5029166666666667
1,Token,89.18662312499873,50x50,0.001,2000000,0.47904166666666664
1,Gibbs,15.051798249998683,10x10,0.001,750000,0.47945822222222223
1,Token,29.746208790998935,10x10,0.001,750000,0.48128822222222223
1,Gibbs,66.67095287499978,20x20,0.001,1500000,0.46560144444444446
1,Token,32.96243516600225,20x20,0.001,1500000,0.47077555555555556
1,Gibbs,245.07748116699804,50x50,0.001,2000000,0.48796875
1,Token,393.2985984170009,50x50,0.001,2000000,0.5106293076923077
2,Gibbs,39.83807391699884,10x10,0.001,750000,0.533
2,Token,14.671297666998726,10x10,0.001,750000,0.5290728888888889
2,Gibbs,55.52717695799947,20x20,0.001,1500000,0.48624
2,Token,43.849166667001555,20x20,0.001,1500000,0.48775583333333333
2,Gibbs,60.123185792002914,50x50,0.001,2000000,0.49652025
2,Token,89.61442841700045,50x50,0.001,2000000,0.5077806666666667
2,Gibbs,20.093800040998758,10x10,0.001,750000,0.5333333333333333
2,Token,24.905397792001168,10x10,0.001,750000,0.5301888
2,Gibbs,33.34272887499901,20x20,0.001,1500000,0.4846691111111111
2,Token,43.832091583000874,20x20,0.001,1500000,0.4835135
2,Gibbs,302.4299834580015,50x50,0.001,2000000,0.508375
2,Token,207.5225317919976,50x50,0.001,2000000,0.4977772142857143
